LIPSLogFocus,TYPE30,21,"",lot_id,character,-99999999999999,"",-99999999999999
LIPSLogFocus,TYPE30,20,"",glass_id,character,-99999999999999,"",-99999999999999
IlluminanceCalibration,HEADER,12,303E4,current_sens_gain,float,-99999999999999,"",-99999999999999
EnvironmentalCompensationLog,HEADER,13,Date Time,log_time,timestamp1,-99999999999999,"",-99999999999999
EACHSHOTILLUMINATIONAUTOADJUSTMONITOR,HEADER,2,321E1,step,integer,1,"",-99999999999999
EACHSHOTILLUMINATIONAUTOADJUSTMONITOR,HEADER,1,321E0,plate,integer,1,"",-99999999999999
EnvironmentalCompensationLog,HEADER,10,21115,tcn_dsp_calc,integer,1,"",-99999999999999
EnvironmentalCompensationLog,HEADER,9,21114,tcn_ppc_calc,integer,1,"",-99999999999999
EnvironmentalCompensationLog,HEADER,8,21113,tcno,integer,1,"",-99999999999999
EnvironmentalCompensationLog,HEADER,7,21112,wlc,integer,1,"",-99999999999999
OASBASELINEMEASUREMENTMONITOR,HEADER,30,Date Time,log_time,timestamp1,-99999999999999,"",-99999999999999
IlluminanceCalibration,HEADER,1,No.,no,iteger,-99999999999999,"",-99999999999999
EnvironmentalCompensationLog,HEADER,3,21111,axis,character,1,"",-99999999999999
EnvironmentalCompensationLog,HEADER,2,21110,state,character,1,"",-99999999999999
EnvironmentalCompensationLog,HEADER,1,24160,plate,integer,1,"",-99999999999999
IlluminationAdjustLog,HEADER,14,3409F,meas_mode,integer,-99999999999999,"",-99999999999999
AAFINALOFFSET,HEADER,10,Chuck,chuck,character,-99999999999999,"",-99999999999999
IlluminationStatusLog,TYPE20,4,"",slit_ndfilter_pos,integer,-99999999999999,"",-99999999999999
M_PSYNCHRONIZATIONERROR,TYPE20,38,"",log_time,timestamp5,-99999999999999,"",-99999999999999
IlluminationStatusLog,TYPE20,5,"",lamp_num,integer,-99999999999999,"",-99999999999999
ErrorLog,TYPE20,4,"",occurred_date,timestamp2,-99999999999999,"",-99999999999999
IlluminanceCalibration,HEADER,18,303E7,unif_sens_gain_gmax,float,-99999999999999,"",-99999999999999
