SRCMONITOR,t,2,2,standard,1,1,1,2,src_monitor,without_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
OASBASELINEMEASUREMENTMONITOR,t,2,2,standard,1,1,1,2,oas_baseline_measurement_monitor,without_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
MECHAPREALIGNMENT,t,2,2,standard,1,1,1,2,mecha_pre_alignment,without_header,1,3,-99999999999999,-99999999999999
ALIGNMENTIMAGEEVALUATIONMONITOR,t,2,2,standard,1,1,1,2,alignment_image_evaluation_monitor,without_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
ADCCOMPENSATION,t,-1,2,standard,1,1,1,2,adc_compensation,without_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
STAGEACCURACYAFC,t,-1,2,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,stage_accuracy_afc,without_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
RUNNINGevent,t,1,2,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,running_event,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
StatusMonitor,t,1,2,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,status_monitor_analysis,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
RUNNINGevent,t,-1,1,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,running_event,without_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
UMTemperatureDetailLog,t,1,2,CHAMBER,-99999999999999,-99999999999999,-99999999999999,-99999999999999,um_temperature_detail,without_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
